cidade,uf,cep
'Porto Alegre do Tocantins','TO','77395-000'
'Porto Nacional','TO','77500-000'
'Praia Norte','TO','77970-000'
'Presidente Kennedy','TO','77745-000'
'Pugmil','TO','77603-000'
'Recursolândia','TO','77733-000'
'Riachinho','TO','77893-000'
'Rio da Conceição','TO','77303-000'
'Rio dos Bois','TO','77655-000'
'Rio Sono','TO','77635-000'
'Sampaio','TO','77980-000'
'Sandolândia','TO','77478-000'
'Santa Fé do Araguaia','TO','77848-000'
'Santa Maria do Tocantins','TO','77716-000'
'Santa Rita do Tocantins','TO','77565-000'
'Santa Rosa do Tocantins','TO','77375-000'
'Santa Tereza do Tocantins','TO','77615-000'
'Santa Terezinha do Tocantins','TO','77885-000'
'São Bento do Tocantins','TO','77958-000'
'São Félix do Tocantins','TO','77605-000'
'São Miguel do Tocantins','TO','77925-000'
'São Salvador do Tocantins','TO','77368-000'
'São Sebastião do Tocantins','TO','77990-000'
'São Valério da Natividade','TO','77390-000'
'Silvanópolis','TO','77580-000'
'Sítio Novo do Tocantins','TO','77940-000'
'Sucupira','TO','77458-000'
'Taguatinga','TO','77320-000'
'Taipas do Tocantins','TO','77308-000'
'Talismã','TO','77483-000'
'Tocantínia','TO','77640-000'
'Tocantinópolis','TO','77900-000'
'Tupirama','TO','77704-000'
'Tupiratins','TO','77743-000'
'Wanderlândia','TO','77860-000'
'Xambioá','TO','77880-000'
'Jequiá da Praia','AL','57244-000'
'Ipiranga de Goiás','GO','76304-000'
'Conquista D\'Oeste','MT','78254-000'
'Colniza','MT','78335-000'
'Rondolândia','MT','78338-000'
'Santa Rita do Trivelato','MT','78453-000'
'Nova Santa Helena','MT','78548-000'
'Santo Antônio do Leste','MT','78628-000'
'Nova Nazaré','MT','78638-000'
'Santa Cruz do Xingu','MT','78664-000'
'Bom Jesus do Araguaia','MT','78678-000'
'Pau D\'Arco do Piauí','PI','64295-000'
'Westfalia','RS','95893-000'
'Santa Margarida do Sul','RS','97335-000'
'Tio Hugo','RS','99345-000'
'Rialma','GO','76310-000'
'Aroeiras do Itaim','PI','64612-000'
'Ipiranga do Norte','MT','78578-000'
'Itanhangá','MT','78579-000'
'Serra do Navio','AP','68948-000'
'Nazária','PI','64415-000'
